Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
29.142857,12.580354,49.0,11.0,29.142857142857142,23.880953,15.090524,92.0,9.0,23.88095238095238,-0.003275168826803565,1003,0.7071363925933838,23.880953,0
49.77778,17.523176,79.0,17.0,49.77777777777778,32.125,16.493843,74.0,13.0,32.125,-0.011552670039236546,2031,1.8123211860656738,,1
40.454544,24.008951,99.0,19.0,40.45454545454545,48.260868,38.941673,193.0,16.0,48.26086956521739,-0.008207010105252266,3141,2.6084091663360596,,2
62.0,25.62365,103.0,29.0,62.0,44.565216,19.4932,88.0,19.0,44.56521739130435,-0.014638026244938374,4166,3.3236849308013916,,3
50.625,23.957972,109.0,23.0,50.625,50.04762,27.177505,148.0,22.0,50.04761904761905,0.0037748191971331835,5217,4.004879713058472,,4
59.714287,25.459852,108.0,30.0,59.714285714285715,58.27778,20.72252,113.0,30.0,58.27777777777778,-0.006642296444624662,6266,4.761604309082031,,5
91.0,40.77254,152.0,41.0,91.0,67.13333,27.052706,141.0,33.0,67.13333333333334,-0.0037142394576221704,7273,5.445744514465332,,6
45.88889,14.93277,83.0,28.0,45.888888888888886,77.92857,44.749245,190.0,31.0,77.92857142857143,0.008330321870744228,8364,6.178153038024902,,7
52.875,32.800297,136.0,23.0,52.875,57.736843,29.954073,152.0,34.0,57.73684210526316,0.004855560138821602,9461,6.929044961929321,,8
82.666664,26.15764,122.0,39.0,82.66666666666667,63.0625,25.99151,114.0,28.0,63.0625,-0.0018660249188542366,10470,7.6258275508880615,,9
67.833336,17.131031,103.0,52.0,67.83333333333333,62.411766,23.931417,138.0,34.0,62.411764705882355,-0.00023762219643685967,11531,8.316254138946533,,10
102.6,31.155096,157.0,63.0,102.6,82.23077,25.807436,148.0,48.0,82.23076923076923,0.0019208474550396204,12600,9.081764698028564,,11
83.2,43.851566,168.0,47.0,83.2,90.166664,37.678093,200.0,48.0,90.16666666666667,-0.013711731880903244,13682,9.806281805038452,,12
68.5,14.032701,86.0,49.0,68.5,88.166664,39.650204,183.0,41.0,88.16666666666667,-0.016131814569234848,14740,10.548079013824463,,13
116.0,23.695992,152.0,87.0,116.0,95.181816,29.71629,166.0,67.0,95.18181818181819,-0.0028584576211869717,15787,11.271878719329834,,14
104.25,21.579794,129.0,70.0,104.25,100.818184,32.509632,157.0,54.0,100.81818181818181,0.012805134057998657,16896,11.989642143249512,,15
116.75,27.625849,157.0,79.0,116.75,89.25,22.50972,121.0,55.0,89.25,-0.0027611316181719303,17967,12.729993104934692,,16
109.0,53.63301,198.0,63.0,109.0,94.818184,24.97205,157.0,72.0,94.81818181818181,-0.006892561912536621,19010,13.464065790176392,,17
112.75,30.252066,165.0,93.0,112.75,120.111115,37.754894,200.0,75.0,120.11111111111111,-0.0017115992959588766,20091,14.21723484992981,,18
143.75,58.087757,200.0,67.0,143.75,149.28572,50.4486,200.0,77.0,149.28571428571428,0.0038281024899333715,21136,14.977622509002686,,19
163.33333,24.608038,195.0,135.0,163.33333333333334,129.75,40.7454,200.0,79.0,129.75,-0.018836870789527893,22174,15.75667405128479,,20
145.66667,57.76004,188.0,64.0,145.66666666666666,154.0,44.64143,200.0,97.0,154.0,-0.005188517272472382,23252,16.49910593032837,,21
200.0,0.0,200.0,200.0,200.0,170.42857,35.395145,200.0,119.0,170.42857142857142,-0.009600567631423473,24445,17.261351346969604,,22
200.0,0.0,200.0,200.0,200.0,177.5,33.752777,200.0,113.0,177.5,-0.023586539551615715,25510,17.964580297470093,,23
168.66667,23.612614,200.0,143.0,168.66666666666666,186.5,21.367811,200.0,140.0,186.5,0.01186054851859808,26629,18.73069977760315,,24
175.66667,34.41253,200.0,127.0,175.66666666666666,170.5,28.814058,200.0,113.0,170.5,-0.0009929647203534842,27652,19.45708179473877,,25
181.33333,13.224557,200.0,171.0,181.33333333333334,168.83333,28.427784,200.0,130.0,168.83333333333334,0.004980016499757767,28665,20.221365213394165,,26
173.33333,19.482185,200.0,154.0,173.33333333333334,150.57143,24.076408,192.0,117.0,150.57142857142858,-0.013421750627458096,29719,20.99366545677185,,27
200.0,0.0,200.0,200.0,200.0,189.33333,15.93389,200.0,158.0,189.33333333333334,-0.00626102602109313,30855,21.73942494392395,,28
200.0,0.0,200.0,200.0,200.0,184.66667,16.193275,200.0,160.0,184.66666666666666,-0.006166181061416864,31963,22.479153394699097,,29
197.66667,3.2998316,200.0,193.0,197.66666666666666,176.5,22.418371,200.0,134.0,176.5,-0.0007854201248846948,33022,23.271925687789917,,30
200.0,0.0,200.0,200.0,200.0,184.66667,12.565385,200.0,168.0,184.66666666666666,0.013354670256376266,34130,24.07090973854065,,31
200.0,0.0,200.0,200.0,200.0,189.5,14.986105,200.0,158.0,189.5,-0.010814032517373562,35267,24.83001708984375,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,36267,25.502972841262817,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,37267,26.208386182785034,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,38267,26.913626670837402,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,39267,27.565771102905273,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,40267,28.257718086242676,,37
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,41267,28.93185830116272,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,42267,29.606836318969727,,39
200.0,0.0,200.0,200.0,200.0,197.16667,6.335526,200.0,183.0,197.16666666666666,0.0061893155798316,43450,30.33266854286194,,40
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,44450,31.008818864822388,,41
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,45450,31.679424285888672,,42
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,46450,32.3429388999939,,43
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,47450,33.090686082839966,,44
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,48450,33.75903344154358,,45
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,49450,34.46371293067932,,46
