Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Critic Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-831.2415,75.312675,-752.4884,-932.7185,1000.0,-686.0056,45.362003,-604.08936,-729.0526,1000.0,-114.794189453125,199.8026123046875,5000,3.2672834396362305,-686.0056,0
-746.7302,60.201275,-674.5604,-821.92944,1000.0,-732.33575,55.238213,-661.3594,-813.9055,1000.0,-105.95709991455078,140.65597686767578,10000,7.150811433792114,,1
-875.53326,63.254192,-806.77527,-959.46924,1000.0,-790.0755,39.142822,-749.69055,-860.2739,1000.0,-76.89462280273438,75.6175163269043,15000,10.248193740844727,,2
-909.6045,35.762276,-874.6753,-958.7452,1000.0,-823.21497,24.069387,-806.2318,-869.7284,1000.0,-46.076908111572266,45.26323318481445,20000,13.498904705047607,,3
-892.9248,65.98393,-823.42615,-981.60254,1000.0,-866.90735,55.79461,-799.29395,-946.78577,1000.0,-25.133331298828125,31.505691528320312,25000,16.750483989715576,,4
-854.03107,60.395714,-775.3631,-922.1743,1000.0,-838.1294,20.367712,-814.26575,-863.63196,1000.0,2.081035614013672,32.16638526916504,30000,19.866848707199097,,5
-864.9407,43.202557,-810.89355,-916.6396,1000.0,-832.33673,59.121227,-774.36755,-935.0957,1000.0,16.774824142456055,39.38391189575195,35000,23.090712070465088,,6
-746.85516,40.710445,-717.0957,-804.41736,1000.0,-806.9302,51.41991,-755.4896,-895.80817,1000.0,19.206083297729492,35.13576202392578,40000,26.261353969573975,,7
-686.50775,18.418514,-672.7342,-712.5408,1000.0,-727.7743,67.30679,-646.375,-820.6823,1000.0,25.329692840576172,37.27746047973633,45000,29.47817301750183,,8
-680.85284,23.329376,-660.86194,-713.5785,1000.0,-773.4606,73.52906,-662.2882,-883.06885,1000.0,7.22190523147583,32.174930572509766,50000,32.79881191253662,,9
-700.9046,53.463078,-659.3301,-776.383,1000.0,-671.49475,61.649353,-613.23486,-788.7173,1000.0,9.560247421264648,25.998620223999023,55000,35.890679359436035,,10
-537.23883,47.228672,-470.61017,-574.5891,1000.0,-704.7,71.36673,-655.47754,-844.48267,1000.0,-6.1097493171691895,38.67184143066406,60000,39.03660011291504,,11
-614.9952,23.685154,-582.7738,-639.0316,1000.0,-687.8705,24.64478,-667.3436,-734.18506,1000.0,-38.14391326904297,114.79586639404297,65000,42.27936387062073,,12
-574.17535,60.51339,-507.307,-653.8618,1000.0,-688.4518,88.640594,-553.2983,-831.2879,1000.0,-12.492535591125488,37.45989227294922,70000,45.36354875564575,,13
-593.4392,34.95473,-546.16034,-629.5799,1000.0,-647.73065,53.089058,-570.82947,-734.7467,1000.0,-5.481759548187256,32.165365600585936,75000,48.56393384933472,,14
-677.3251,36.665993,-628.3641,-716.59436,1000.0,-608.4354,21.575226,-584.0747,-634.5824,1000.0,0.052275560796260834,22.819969940185548,80000,51.783302307128906,,15
-705.24365,46.70928,-650.4641,-764.6027,1000.0,-626.73376,46.157707,-581.3412,-714.557,1000.0,0.5596365928649902,20.646094131469727,85000,54.77768635749817,,16
-666.61786,57.271996,-588.7123,-724.7582,1000.0,-643.6506,51.15362,-578.73596,-694.6011,1000.0,-5.031130313873291,34.70901336669922,90000,57.99708819389343,,17
-603.384,92.52707,-486.96738,-713.3346,1000.0,-649.26044,66.008316,-576.8971,-762.9785,1000.0,-5.144332408905029,27.483403396606445,95000,61.115522623062134,,18
-616.7669,88.002495,-542.9448,-740.44995,1000.0,-655.7706,78.39941,-595.19507,-806.39185,1000.0,-4.148669242858887,33.08493499755859,100000,64.20102405548096,,19
-495.4471,114.38328,-344.05676,-620.49835,1000.0,-550.6794,38.131947,-507.40268,-608.89923,1000.0,16.359384536743164,28.851424789428712,105000,67.36876654624939,,20
-548.45795,100.06026,-419.19458,-662.95264,1000.0,-590.10974,49.46931,-517.6607,-650.96826,1000.0,1.7115962505340576,32.537932586669925,110000,70.414302110672,,21
-539.6457,58.050667,-466.92804,-609.0034,1000.0,-498.33398,50.676697,-428.11816,-584.567,1000.0,7.851190567016602,23.528339385986328,115000,73.62573218345642,,22
-564.04266,86.85499,-464.0699,-675.8333,1000.0,-511.04254,47.39671,-417.52216,-544.1569,1000.0,-0.0076872375793755054,15.035902214050292,120000,76.7718563079834,,23
-502.8287,12.024736,-491.11005,-519.3602,1000.0,-516.3101,62.61468,-445.97388,-601.0493,1000.0,-7.034450054168701,30.81975212097168,125000,79.84207725524902,,24
-519.4771,50.863693,-460.62595,-584.7228,1000.0,-515.56396,24.353134,-481.33698,-553.40186,1000.0,-3.066469192504883,13.289903831481933,130000,83.10167217254639,,25
-428.58286,53.439598,-389.7826,-504.14874,1000.0,-469.95932,41.893494,-416.96863,-538.00964,1000.0,5.633625507354736,21.51893081665039,135000,86.20758819580078,,26
-496.7144,9.441803,-483.68573,-505.7609,1000.0,-453.2853,65.15365,-358.06232,-529.67346,1000.0,7.205514907836914,20.27124938964844,140000,89.38438725471497,,27
-480.15585,20.451492,-463.57336,-508.9693,1000.0,-441.7101,13.725329,-422.71692,-453.65033,1000.0,1.5349385738372803,17.168689727783203,145000,92.58088779449463,,28
-457.68253,17.72568,-432.66476,-471.56348,1000.0,-482.43906,81.32505,-320.93866,-539.7107,1000.0,-9.526826858520508,28.906884765625,150000,95.72133255004883,,29
-458.07544,64.011925,-377.96887,-534.64575,1000.0,-452.3597,24.687819,-424.69763,-495.45917,1000.0,-2.6021602153778076,15.673913192749023,155000,98.8906307220459,,30
-461.71793,19.273928,-442.20474,-487.95642,1000.0,-434.73257,25.161823,-401.90097,-467.91406,1000.0,5.06642484664917,16.167972564697266,160000,102.10208225250244,,31
-400.19852,25.276659,-365.89453,-426.05634,1000.0,-431.84424,48.282658,-361.77612,-500.00916,1000.0,4.5368781089782715,15.343556976318359,165000,105.11740326881409,,32
-408.0382,22.833344,-377.1165,-431.55685,1000.0,-447.38794,38.235966,-395.9181,-490.85367,1000.0,-3.2766361236572266,21.18976707458496,170000,108.34075450897217,,33
-425.63977,15.012965,-414.8399,-446.87024,1000.0,-411.4518,40.33244,-366.07544,-474.65222,1000.0,0.13932180404663086,10.156217193603515,175000,111.47212648391724,,34
-335.6421,12.704417,-322.54337,-352.84137,1000.0,-383.21317,28.618881,-340.29193,-418.467,1000.0,3.8774867057800293,18.5747127532959,180000,114.49759912490845,,35
-373.84067,24.081076,-356.37808,-407.89273,1000.0,-391.58136,41.30886,-335.60193,-454.7282,1000.0,-0.09787029772996902,15.89073657989502,185000,117.67868137359619,,36
-365.70752,44.290165,-303.25592,-401.09003,1000.0,-349.2661,32.236126,-300.95428,-387.1829,1000.0,3.0342350006103516,15.253008270263672,190000,120.78532719612122,,37
-441.80383,157.36311,-291.95453,-659.21924,1000.0,-342.66473,37.158367,-311.3214,-406.8742,1000.0,0.0661405399441719,11.515964126586914,195000,123.91277241706848,,38
-335.53207,38.282494,-299.60577,-388.57086,1000.0,-341.2019,48.55084,-249.83174,-384.06177,1000.0,-1.6717318296432495,14.876285171508789,200000,127.09720230102539,,39
-307.48044,44.21916,-264.23196,-368.22217,1000.0,-351.3717,50.81843,-317.2915,-451.82532,1000.0,-2.0887510776519775,15.45928897857666,205000,130.1614706516266,,40
-319.11163,22.552706,-297.14856,-350.122,1000.0,-340.20184,34.632526,-288.76736,-389.1361,1000.0,0.14122407138347626,18.726469802856446,210000,133.43028736114502,,41
-286.16898,28.786068,-260.32025,-326.33008,1000.0,-310.90674,43.69067,-250.16774,-383.68195,1000.0,2.189518451690674,14.166604614257812,215000,136.59719347953796,,42
-267.3787,48.258892,-226.54434,-335.15405,1000.0,-317.25058,25.748512,-275.13947,-348.61145,1000.0,-0.5615257024765015,13.013996696472168,220000,139.7829749584198,,43
-239.73564,8.753889,-229.206,-250.6388,1000.0,-294.45053,29.04622,-254.33759,-338.60666,1000.0,2.8345139026641846,19.067045593261717,225000,143.06161260604858,,44
-243.0678,35.84159,-195.01962,-281.07257,1000.0,-299.12125,44.792206,-245.2081,-360.3603,1000.0,-1.0080636739730835,16.245571517944335,230000,146.04561734199524,,45
-267.95694,7.8108706,-258.61032,-277.7288,1000.0,-263.0051,32.431004,-206.53833,-290.2572,1000.0,1.0353243350982666,12.781994247436524,235000,149.17156100273132,,46
-208.02937,11.185797,-193.03604,-219.89445,1000.0,-217.88681,42.348007,-154.20085,-259.08173,1000.0,5.78870153427124,13.478229904174805,240000,152.3707389831543,,47
-194.56758,45.685585,-130.2318,-231.87729,1000.0,-228.49854,67.144554,-168.7391,-358.32077,1000.0,0.812495231628418,24.81846504211426,245000,155.35361862182617,,48
-161.60802,45.902504,-107.14021,-219.42792,1000.0,-200.09236,28.661924,-149.64163,-224.11649,1000.0,-3.22328519821167,12.54784927368164,250000,158.5102310180664,,49
-170.45328,39.49972,-127.66591,-222.94797,1000.0,-201.60016,56.17131,-113.854706,-274.08276,1000.0,-0.8983052968978882,18.603424072265625,255000,161.61283326148987,,50
-99.14624,42.558395,-42.741673,-145.53421,1000.0,-168.36746,53.44567,-103.29343,-245.17197,1000.0,3.703145742416382,16.83046073913574,260000,164.6718990802765,,51
-103.66544,43.69954,-46.00472,-151.7547,1000.0,-129.48044,23.542181,-83.79089,-151.68312,1000.0,3.5955440998077393,12.58702392578125,265000,167.8807249069214,,52
-96.5545,45.75949,-32.166565,-134.36472,1000.0,-142.35443,50.26691,-61.096176,-199.69835,1000.0,-2.856156587600708,15.638563346862792,270000,170.98151326179504,,53
-37.59347,37.287292,-2.0107007,-89.088165,1000.0,-45.169716,71.24894,63.343037,-133.56467,1000.0,5.706772327423096,13.172551155090332,275000,174.01549005508423,,54
-64.840294,37.649548,-26.424076,-115.976105,1000.0,-90.90183,69.51284,-16.577343,-213.33052,1000.0,-3.2940187454223633,17.915874862670897,280000,177.19016575813293,,55
-61.258327,45.53808,-24.547504,-125.43744,1000.0,-20.858074,16.592115,7.367075,-39.79616,1000.0,2.166912794113159,11.285324478149414,285000,180.20471668243408,,56
-22.022333,38.6255,32.575874,-50.794853,1000.0,-33.516468,46.6531,21.415033,-98.1337,1000.0,0.26659443974494934,15.044882774353027,290000,183.43876576423645,,57
-38.924236,47.08328,16.901182,-98.267746,1000.0,-43.069202,68.53462,45.89073,-157.00064,1000.0,-3.9278206825256348,15.668914413452148,295000,186.52195000648499,,58
-114.08903,37.704735,-60.768044,-141.10347,1000.0,-31.258871,56.2813,42.300613,-97.74188,1000.0,1.6064858436584473,16.535352325439455,300000,189.58241534233093,,59
-81.26001,58.713352,1.7727795,-123.00646,1000.0,-50.38271,83.42018,45.527405,-178.50731,1000.0,-4.096498966217041,17.789926528930664,305000,192.75638127326965,,60
-42.02313,65.88248,31.127893,-128.5731,1000.0,-44.82096,36.0321,-7.4728737,-109.64813,1000.0,-1.2534788846969604,19.811339950561525,310000,195.93126606941223,,61
-2.8513947,27.972422,29.202854,-38.955334,1000.0,-82.97584,92.36871,23.23005,-250.17361,1000.0,-3.2570269107818604,25.17337875366211,315000,199.10540390014648,,62
15.59843,57.8027,57.831055,-66.13168,1000.0,-15.556358,48.388206,30.081379,-79.83678,1000.0,0.6132565140724182,15.029204559326171,320000,202.32809853553772,,63
63.807537,55.644688,114.3266,-13.7048855,1000.0,74.311844,42.128864,133.79614,8.434021,1000.0,7.084011554718018,14.398113441467284,325000,205.27143168449402,,64
8.129048,33.760612,52.899773,-28.621384,1000.0,105.295975,69.08271,234.7012,29.018616,1000.0,-1.7910302877426147,19.211708068847656,330000,208.45909690856934,,65
52.088917,68.652725,105.309,-44.84546,1000.0,89.24447,40.978592,143.8379,34.14496,1000.0,1.5415505170822144,14.856121826171876,335000,211.6363263130188,,66
71.08556,37.9276,124.56246,40.75257,1000.0,11.902745,56.422462,97.48601,-75.03014,1000.0,-10.665778160095215,19.74949951171875,340000,214.5442659854889,,67
39.985916,16.825027,58.314663,17.681332,1000.0,40.039204,89.07065,135.44522,-126.72361,1000.0,4.226417541503906,22.602240753173827,345000,217.7065896987915,,68
82.68976,87.39883,158.95406,-39.678078,1000.0,98.67458,29.774874,156.72975,75.13283,1000.0,5.53239631652832,15.390923500061035,350000,220.78375697135925,,69
50.936443,80.83007,165.09691,-11.222412,1000.0,96.57695,126.8041,223.06348,-138.65785,1000.0,1.9967515468597412,20.836779403686524,355000,223.8966042995453,,70
168.03157,26.145472,189.59128,131.23706,1000.0,131.68727,39.349854,185.69583,81.94145,1000.0,-0.33385127782821655,14.094696235656738,360000,227.00817918777466,,71
134.98297,54.281986,200.01242,67.13867,1000.0,143.3453,112.198616,213.3026,-80.42474,1000.0,2.6124496459960938,15.66813793182373,365000,230.0086534023285,,72
165.67574,38.12085,218.11246,128.61343,1000.0,134.01245,36.1827,188.12012,98.72995,1000.0,-4.915293216705322,13.604340744018554,370000,233.14641976356506,,73
258.42706,61.066288,319.84235,175.13844,1000.0,199.46243,44.43935,278.52838,147.31396,1000.0,3.926462411880493,13.521846389770507,375000,236.2671093940735,,74
262.38684,49.730232,331.48053,216.47375,1000.0,211.30298,38.90107,266.1552,159.9697,1000.0,3.3972973823547363,14.222042655944824,380000,239.27606511116028,,75
160.6169,95.25764,257.6272,31.162514,1000.0,228.62251,27.043903,267.52753,191.07547,1000.0,-1.436100959777832,15.662259674072265,385000,242.45180678367615,,76
274.03146,56.308586,335.56076,199.48788,1000.0,250.11111,73.48894,298.26178,106.817,1000.0,-1.1583671569824219,15.827437591552734,390000,245.47049379348755,,77
300.10635,2.9227612,303.4809,296.35193,1000.0,247.02776,36.040955,311.76587,201.64017,1000.0,-0.9210557341575623,12.994265174865722,395000,248.6025631427765,,78
