Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-822.7895,56.573437,-778.92535,-902.66797,1000.0,-700.5374,74.052505,-621.17163,-800.78406,1000.0,-117.7728271484375,5000,3.324918270111084,-700.5374,0
-906.78754,125.46977,-811.71375,-1084.0731,1000.0,-935.27185,134.9308,-706.71436,-1111.439,1000.0,-156.32289123535156,10000,7.075080394744873,,1
-875.0747,72.43568,-772.7411,-930.274,1000.0,-923.5231,65.68626,-809.7302,-993.8827,1000.0,-152.2075653076172,15000,10.503029584884644,,2
-920.7758,60.987446,-847.4137,-996.73413,1000.0,-817.4369,39.50767,-767.7284,-870.8992,1000.0,-135.017333984375,20000,13.999522686004639,,3
-893.2928,38.338596,-850.056,-943.2433,1000.0,-820.2191,29.693277,-782.0691,-861.54224,1000.0,-135.17579650878906,25000,17.698853969573975,,4
-871.52203,35.671402,-821.4099,-901.6034,1000.0,-917.41895,45.880104,-863.6391,-1001.85254,1000.0,-152.0684051513672,30000,21.34533381462097,,5
-953.2046,54.340443,-880.786,-1011.6847,1000.0,-888.3959,72.81492,-810.8875,-976.84827,1000.0,-144.92901611328125,35000,24.637365341186523,,6
-960.8262,67.533134,-887.28345,-1050.3677,1000.0,-909.6869,84.051605,-792.42474,-1007.1295,1000.0,-148.7550506591797,40000,27.903898239135742,,7
-1025.0771,81.14597,-910.34875,-1084.69,1000.0,-952.9142,74.006836,-862.40674,-1033.4338,1000.0,-155.5965576171875,45000,31.051581382751465,,8
-991.55975,55.834015,-916.8806,-1051.1125,1000.0,-985.7848,116.2928,-782.1505,-1098.4958,1000.0,-160.53302001953125,50000,34.297651529312134,,9
-1019.7332,60.823845,-971.75134,-1105.5515,1000.0,-977.40155,55.060028,-908.4104,-1049.9714,1000.0,-157.96629333496094,55000,37.61345362663269,,10
-1053.3099,60.5991,-983.131,-1130.9971,1000.0,-1051.449,82.79709,-923.45276,-1167.6543,1000.0,-170.1179962158203,60000,40.64468216896057,,11
-1044.4546,41.846626,-1005.06555,-1102.3994,1000.0,-1031.5807,46.90655,-957.5269,-1090.4807,1000.0,-164.95657348632812,65000,43.92885446548462,,12
-1003.25934,35.301033,-960.67584,-1047.1172,1000.0,-1057.7142,23.770742,-1026.4506,-1085.4529,1000.0,-168.24566650390625,70000,47.23995637893677,,13
-990.3576,9.172063,-981.93744,-1003.11255,1000.0,-1014.3182,43.250942,-960.7836,-1076.3823,1000.0,-160.84288024902344,75000,50.40909695625305,,14
-994.6509,54.665215,-923.4827,-1056.3835,1000.0,-985.9469,45.629852,-923.6022,-1038.5773,1000.0,-155.87454223632812,80000,53.72530436515808,,15
-961.0926,44.74839,-918.9269,-1023.04315,1000.0,-1006.9912,33.920895,-953.9923,-1056.0042,1000.0,-159.70614624023438,85000,56.98514485359192,,16
-964.05536,20.431154,-942.16284,-991.33215,1000.0,-973.9559,33.337677,-922.6522,-1008.7207,1000.0,-152.5004425048828,90000,60.06467628479004,,17
-902.3942,51.6087,-835.73706,-961.4678,1000.0,-922.901,39.696682,-871.3541,-970.81525,1000.0,-144.19740295410156,95000,63.297210931777954,,18
-863.2868,13.993195,-845.4702,-879.6544,1000.0,-913.74963,32.779793,-869.38855,-956.0425,1000.0,-142.57855224609375,100000,66.40978145599365,,19
-796.5134,11.9979725,-780.2554,-808.84766,1000.0,-876.9888,39.364475,-815.22034,-927.71326,1000.0,-136.02206420898438,105000,69.5298216342926,,20
-808.9759,70.84591,-736.3385,-905.05725,1000.0,-834.2166,49.546917,-759.24634,-897.76953,1000.0,-129.78900146484375,110000,72.76904273033142,,21
