Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
11.94186,7.702845,46.0,3.0,11.94186046511628,9.118397,5.5560246,37.0,3.0,9.1183970856102,17.301931381225586,5006,2.1419970989227295,9.118397,0
19.62745,13.632373,56.0,4.0,19.627450980392158,12.795397,7.995464,49.0,3.0,12.79539641943734,24.66200065612793,10009,4.661194801330566,,1
26.342106,13.565196,76.0,7.0,26.342105263157894,17.825623,11.687882,79.0,3.0,17.82562277580071,36.02326965332031,15018,6.8258056640625,,2
29.882353,15.531305,82.0,7.0,29.88235294117647,24.517073,13.54292,74.0,5.0,24.517073170731706,45.167686462402344,20044,8.761726379394531,,3
40.8,15.902202,86.0,16.0,40.8,28.46591,14.932765,92.0,4.0,28.46590909090909,50.19662094116211,25054,10.85949444770813,,4
46.863636,19.24317,97.0,14.0,46.86363636363637,38.11278,20.349447,109.0,8.0,38.11278195488722,68.47669982910156,30123,12.826220035552979,,5
49.714287,15.70909,80.0,24.0,49.714285714285715,42.432205,17.933247,99.0,12.0,42.432203389830505,70.10576629638672,35130,14.841416835784912,,6
46.260868,19.368773,86.0,17.0,46.26086956521739,45.70909,18.572386,108.0,10.0,45.70909090909091,73.5806655883789,40158,17.01047682762146,,7
51.04762,16.11115,76.0,15.0,51.04761904761905,47.92381,18.573763,106.0,15.0,47.923809523809524,76.2670669555664,45190,18.99035906791687,,8
49.904762,19.527527,83.0,15.0,49.904761904761905,51.804123,22.641373,132.0,11.0,51.8041237113402,84.88137817382812,50215,21.025847911834717,,9
57.94737,21.893219,115.0,21.0,57.94736842105263,54.215054,22.000414,140.0,12.0,54.215053763440864,87.84437561035156,55257,22.92454743385315,,10
54.05263,19.165413,98.0,27.0,54.05263157894737,57.352272,27.219246,199.0,15.0,57.35227272727273,97.48680114746094,60304,24.972384929656982,,11
61.42105,31.025143,177.0,28.0,61.421052631578945,58.85882,22.662306,140.0,18.0,58.858823529411765,93.9163589477539,65307,27.005438327789307,,12
68.26667,18.961246,96.0,41.0,68.26666666666667,60.154762,22.78183,119.0,13.0,60.154761904761905,93.755126953125,70360,28.902596950531006,,13
64.625,26.148315,128.0,29.0,64.625,59.15116,25.093554,144.0,15.0,59.151162790697676,94.92733001708984,75447,30.98309898376465,,14
66.0625,32.845222,116.0,17.0,66.0625,66.86667,31.194157,160.0,24.0,66.86666666666666,112.13294982910156,80462,32.83994436264038,,15
80.42857,47.02084,209.0,38.0,80.42857142857143,70.083336,35.45919,226.0,26.0,70.08333333333333,119.50096893310547,85508,34.8409640789032,,16
