Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Critic Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-204.43275,113.84212,1.3950043,-440.24777,91.13636363636364,-184.71718,101.386826,-1.8986359,-419.732,86.16666666666667,-138.2186737060547,12848.303125,2068,3.426323413848877,-184.71718,0
-186.05862,116.33796,-39.317616,-473.8608,92.5,-194.94716,110.88834,-44.10571,-461.08527,92.13636363636364,-134.8124542236328,12984.6806640625,4095,7.424327611923218,,1
-197.03293,95.60347,-50.77481,-427.29425,109.36842105263158,-182.01282,105.540016,-55.461403,-483.64203,87.82608695652173,-119.58869171142578,10430.677734375,6115,11.61076307296753,,2
-172.65988,83.922806,-81.16188,-389.24173,97.9047619047619,-215.0186,114.73743,-61.78443,-443.77322,95.28571428571429,-137.0765380859375,14287.50546875,8116,15.57152771949768,,3
-152.70152,73.85683,-13.1552925,-305.26245,96.0952380952381,-147.16241,80.373566,16.101624,-391.35898,92.4090909090909,-88.24905395507812,5957.2931640625,10149,18.991941928863525,,4
-145.17442,74.48216,-33.62898,-349.75336,101.25,-167.32275,96.16087,-74.89725,-414.10913,96.33333333333333,-96.17884063720703,7393.577734375,12172,23.276692628860474,,5
-148.62436,80.91531,21.729233,-325.1811,88.1304347826087,-177.93887,90.71748,11.674324,-375.56616,90.1304347826087,-96.09825897216797,7227.10283203125,14245,26.988833904266357,,6
-146.15428,81.372406,16.64441,-360.31155,91.86363636363636,-215.09317,97.524956,-29.8909,-478.31168,103.2,-111.10041046142578,9428.68125,16309,30.827502727508545,,7
-184.94188,91.840256,-57.019485,-439.9682,94.77272727272727,-191.13322,108.446945,-9.754509,-540.254,95.52380952380952,-103.54950714111328,9710.452734375,18315,34.445857524871826,,8
-140.24844,98.60357,91.373726,-333.0244,154.14285714285714,-182.39566,76.16246,-89.64918,-332.24088,95.18181818181819,-91.57750701904297,6373.72177734375,20409,38.88525462150574,,9
-154.52054,74.26897,-70.01163,-382.4916,86.20833333333333,-136.02913,59.42676,-64.66304,-350.20477,84.45833333333333,-54.55617904663086,3132.1591796875,22436,42.43123126029968,,10
-113.31588,39.935184,-29.816948,-186.35437,95.47619047619048,-156.4127,85.13374,-22.265724,-365.79556,83.58333333333333,-73.03935241699219,5798.1265625,24442,46.194233655929565,,11
-127.3077,54.70252,-56.719185,-267.5257,90.08695652173913,-140.83867,56.67399,-69.39362,-336.92142,91.36363636363636,-45.770896911621094,2311.492041015625,26452,49.77849268913269,,12
-123.34836,68.790245,8.128046,-249.12494,95.36363636363636,-126.717224,92.47131,17.268951,-397.70612,96.04761904761905,-33.472190856933594,4107.04736328125,28469,53.442468881607056,,13
-132.27193,61.78536,-20.724213,-265.02756,94.45454545454545,-143.5591,71.53583,-56.979385,-330.0266,89.78260869565217,-50.8023567199707,3120.034814453125,30534,57.00848603248596,,14
-127.20742,71.24583,-15.908211,-374.9194,90.34782608695652,-141.33353,64.94783,-35.600243,-300.25336,103.2,-38.02347946166992,2747.557861328125,32598,60.62856197357178,,15
-150.6096,52.580486,-82.66951,-283.3428,99.23809523809524,-125.761955,71.45937,14.174385,-289.51,89.8695652173913,-31.118633270263672,2331.185986328125,34665,64.16896200180054,,16
-109.948906,32.066845,-56.538216,-166.46573,91.0,-126.39081,56.726986,-58.68216,-320.377,96.95238095238095,-25.486238479614258,1624.01982421875,36701,67.68003296852112,,17
-119.084236,59.139038,24.184914,-240.26886,92.13636363636364,-122.70694,59.419033,-27.109825,-279.02454,97.71428571428571,-17.45545768737793,1557.657861328125,38753,71.20171928405762,,18
-126.41682,45.76601,-69.90164,-265.90924,95.47619047619048,-124.039825,48.458847,-6.0876465,-272.0428,87.1304347826087,-25.602893829345703,1735.298486328125,40757,74.58796811103821,,19
-124.78686,69.9928,42.198067,-271.61032,97.0,-123.18973,59.3487,-17.66446,-315.84247,91.72727272727273,-21.804235458374023,1924.9671630859375,42775,78.15621042251587,,20
-117.53234,33.230946,-72.520226,-224.09229,94.0,-130.55812,48.723198,-4.6369476,-223.04,86.29166666666667,-29.446474075317383,1472.005908203125,44846,81.58833599090576,,21
-113.87565,79.44848,39.771652,-362.291,89.30434782608695,-114.68991,33.64566,-67.442,-171.69014,94.18181818181819,-9.987674713134766,668.1214721679687,46918,85.15851259231567,,22
-100.71968,46.07142,-13.765217,-183.62398,92.3913043478261,-133.66466,48.096893,-72.77207,-260.5244,97.9047619047619,-22.952159881591797,1264.589208984375,48974,88.74038529396057,,23
-131.31007,64.91718,-59.32239,-364.4621,108.63157894736842,-125.482544,49.887547,-69.61292,-268.29846,92.63636363636364,-18.592369079589844,1074.351123046875,51012,92.32277345657349,,24
-100.58176,39.28267,-7.4273224,-215.45425,102.25,-123.38079,41.560764,-70.488846,-218.39133,99.04761904761905,-12.179362297058105,657.8999267578125,53092,95.93525004386902,,25
-102.66723,40.812,-44.933174,-206.06293,93.81818181818181,-100.783356,26.498947,-25.902397,-138.27545,96.19047619047619,8.181902885437012,560.19853515625,55112,99.36689949035645,,26
-103.19005,32.97288,-33.946793,-163.21214,105.78947368421052,-107.12294,62.658638,-9.565315,-270.57428,99.61904761904762,-0.6418995261192322,1456.74482421875,57204,102.83265018463135,,27
-78.098045,85.34088,78.95806,-284.24524,184.08333333333334,-104.03697,34.111046,-19.725845,-198.9649,97.33333333333333,3.8159682750701904,767.7028442382813,59248,107.50618147850037,,28
-104.21463,33.903954,-41.36906,-213.20653,95.54545454545455,-131.73141,55.232395,-55.74257,-299.1242,99.47619047619048,-15.972103118896484,1314.2120361328125,61337,111.04348754882812,,29
-116.17969,46.00625,-49.06611,-231.00888,106.05263157894737,-95.51798,41.517845,-24.574211,-217.26633,105.26315789473684,15.21507453918457,922.9947021484375,63337,114.50286793708801,,30
-100.650055,46.307762,-6.290846,-213.18427,125.375,-96.010025,29.536867,-48.44437,-149.06856,101.4,8.434744834899902,572.5578247070313,65365,117.92869877815247,,31
-91.16089,23.617954,-56.83233,-154.11346,97.85714285714286,-85.12217,33.36932,14.10386,-149.14264,112.15789473684211,25.52366828918457,1256.06513671875,67496,121.50034523010254,,32
-80.091194,43.738037,32.5923,-161.12057,105.52631578947368,-98.88554,49.05244,12.77504,-270.78418,102.65,9.098254203796387,1126.16572265625,69549,125.32554483413696,,33
-95.745804,40.77474,-28.251091,-175.26944,109.36842105263158,-110.03447,38.05063,-57.572456,-196.22095,115.38888888888889,6.803610801696777,591.3812744140625,71626,128.85508370399475,,34
-88.32678,41.602688,-11.609909,-185.79785,112.0,-91.17082,53.77478,-19.656403,-273.33838,106.94736842105263,10.64977741241455,1111.4756103515624,73658,132.36132526397705,,35
-92.02692,44.487305,-35.884632,-221.86217,122.88235294117646,-84.780075,28.925856,-26.817425,-163.10326,117.76470588235294,16.687267303466797,875.2409423828125,75660,135.98037576675415,,36
-110.62537,64.24772,-41.688408,-263.54257,121.41176470588235,-88.70109,46.326954,-0.07891464,-199.56345,115.38888888888889,17.39520263671875,1176.9583984375,77737,139.66982531547546,,37
-86.46778,38.277763,-5.2269363,-183.55664,122.05882352941177,-129.41238,48.09009,-64.25848,-251.43799,145.07142857142858,6.25924825668335,978.051708984375,79768,143.41944217681885,,38
-97.084076,34.816135,-35.980637,-167.69708,135.33333333333334,-89.836365,49.586388,9.530243,-181.67741,121.82352941176471,14.147157669067383,1191.739453125,81839,147.3198754787445,,39
-101.414444,77.92603,-15.641718,-366.49084,126.125,-86.04554,41.564537,-20.241434,-175.01428,127.1875,12.36682415008545,1133.6778076171875,83874,151.08827543258667,,40
-62.17198,21.335176,-35.30043,-110.42908,121.05882352941177,-91.449585,50.128056,-19.735043,-227.69156,156.85714285714286,22.789709091186523,1399.1640625,86070,155.1906659603119,,41
-119.75223,93.389755,1.081955,-293.43433,177.33333333333334,-105.20993,72.53422,-52.20692,-327.3674,177.83333333333334,19.21107292175293,1721.3911865234375,88204,159.25537633895874,,42
-110.097206,57.316223,11.893337,-190.55754,172.41666666666666,-82.06699,34.435898,-25.471127,-141.38745,154.35714285714286,23.65070152282715,1178.6150146484374,90365,163.12414741516113,,43
-107.53978,89.72876,4.4527016,-284.0309,315.57142857142856,-72.001015,46.42889,-6.234006,-192.09283,144.78571428571428,22.147489547729492,1252.966796875,92392,168.8807497024536,,44
-108.54011,47.465298,-32.170616,-220.36163,188.72727272727272,-154.34193,73.857475,-45.61841,-245.89828,155.64285714285714,-18.826913833618164,1843.6127685546876,94571,173.0816993713379,,45
-75.024254,58.144215,4.470805,-199.36893,158.14285714285714,-57.51842,37.63447,14.602091,-143.30501,167.41666666666666,33.54973220825195,1557.4462158203125,96580,177.09017515182495,,46
-77.13087,45.722553,5.830179,-161.08356,205.1818181818182,-55.982193,52.19672,16.272408,-197.5224,161.0,28.158416748046875,1550.6924560546875,98673,181.161039352417,,47
-69.192764,56.860874,12.645103,-204.91205,158.69230769230768,-87.08941,76.88151,19.753273,-245.11932,174.5,10.109676361083984,1169.5552978515625,100767,185.02645993232727,,48
-47.97385,46.63196,7.187752,-168.07181,155.69230769230768,-53.95761,47.447212,9.558132,-172.1498,170.75,24.47477912902832,1616.9936767578124,102816,188.850848197937,,49
-36.35404,27.976604,18.784538,-75.30829,143.73333333333332,-61.843582,52.40515,18.996544,-140.258,270.625,28.889265060424805,1640.818701171875,104981,193.6593599319458,,50
-34.56116,42.77677,36.3562,-93.69877,182.63636363636363,-58.566555,54.04827,9.618531,-163.73561,206.63636363636363,26.57061767578125,1316.501416015625,107254,197.83004450798035,,51
-49.803535,45.060665,29.003038,-121.00066,200.8,-49.46928,33.90839,-12.615967,-139.88344,150.07142857142858,15.587839126586914,866.771484375,109355,201.74729681015015,,52
-29.84896,39.68025,6.774544,-125.54872,261.44444444444446,-66.52979,48.864536,9.864555,-196.27023,169.25,14.728387832641602,1346.6366455078125,111386,207.37325167655945,,53
-59.782032,43.692814,-6.9732895,-149.80408,174.5,-48.58798,55.378506,38.787544,-133.95099,143.0,8.429858207702637,1284.9431396484374,113388,211.26749563217163,,54
-55.7501,38.38299,-3.1270065,-143.0606,185.76923076923077,-79.5244,45.216667,-9.811918,-159.71976,159.23076923076923,-1.456549048423767,1142.6242919921874,115458,215.66846299171448,,55
-74.12314,58.57854,3.444563,-172.73033,188.45454545454547,-26.621658,39.517666,18.803795,-88.31777,268.1111111111111,31.483131408691406,1657.3670654296875,117871,221.59101963043213,,56
-60.95286,62.32573,51.590652,-145.85014,321.57142857142856,-31.368088,59.765144,41.80945,-194.74385,173.66666666666666,18.749589920043945,1711.082666015625,119955,226.94459986686707,,57
-48.87611,35.668762,13.857331,-117.57901,191.0,-33.570393,12.828773,-16.09678,-56.651325,302.7142857142857,26.913145065307617,1112.8510009765625,122074,232.194504737854,,58
-27.154667,35.25652,29.049686,-87.845245,244.2,-39.886112,34.09235,11.955999,-101.460335,210.0,15.842399597167969,1843.116162109375,124174,238.17219948768616,,59
